================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 16:50:28
最优Makespan: 13330
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 132
调机节省总时间: 4648.0

批处理次数: 25

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[500, 590], 时长90
工件J0-工序O1: 机器M10, 时间[4323, 4963], 时长640
工件J0-工序O2: 机器M3, 时间[4963, 5315], 时长352
工件J0-工序O3: 机器M7, 时间[6733, 7065], 时长332
工件J0-工序O4: 机器M9, 时间[7941, 7961], 时长20
工件J0-工序O5: 机器M13, 时间[7961, 7981], 时长20
工件J0-工序O6: 机器M36, 时间[10389, 10641], 时长252
工件J0-工序O7: 机器M19, 时间[10641, 10821], 时长180
工件J0-工序O8: 机器M25, 时间[10901, 11031], 时长130
工件J0-工序O9: 机器M24, 时间[11031, 11071], 时长40
工件J0-工序O10: 机器M41, 时间[11071, 11151], 时长80
工件J0-工序O11: 机器M28, 时间[11151, 11191], 时长40
工件J0-工序O12: 机器M29, 时间[11191, 11221], 时长30
工件J0-工序O13: 机器M30, 时间[11457, 11657], 时长200
工件J1-工序O0: 机器M2, 时间[390, 480], 时长90
工件J1-工序O1: 机器M10, 时间[4963, 5603], 时长640
工件J1-工序O2: 机器M3, 时间[6723, 7075], 时长352
工件J1-工序O3: 机器M7, 时间[7397, 7729], 时长332
工件J1-工序O4: 机器M9, 时间[7919, 7941], 时长22
工件J1-工序O5: 机器M13, 时间[7941, 7961], 时长20
工件J1-工序O6: 机器M36, 时间[8373, 8625], 时长252
工件J1-工序O7: 机器M19, 时间[9381, 9561], 时长180
工件J1-工序O8: 机器M25, 时间[10771, 10901], 时长130
工件J1-工序O9: 机器M24, 时间[10901, 10941], 时长40
工件J1-工序O10: 机器M41, 时间[10941, 11021], 时长80
工件J1-工序O11: 机器M28, 时间[11021, 11061], 时长40
工件J1-工序O12: 机器M29, 时间[11061, 11091], 时长30
工件J1-工序O13: 机器M30, 时间[11670, 11870], 时长200
工件J2-工序O0: 机器M1, 时间[1130, 1220], 时长90
工件J2-工序O1: 机器M10, 时间[3683, 4323], 时长640
工件J2-工序O2: 机器M4, 时间[4920, 5322], 时长402
工件J2-工序O3: 机器M7, 时间[7729, 8061], 时长332
工件J2-工序O4: 机器M9, 时间[8061, 8081], 时长20
工件J2-工序O5: 机器M13, 时间[8081, 8101], 时长20
工件J2-工序O6: 机器M36, 时间[9633, 9885], 时长252
工件J2-工序O7: 机器M19, 时间[10101, 10281], 时长180
工件J2-工序O8: 机器M25, 时间[11291, 11421], 时长130
工件J2-工序O9: 机器M24, 时间[11421, 11461], 时长40
工件J2-工序O10: 机器M41, 时间[11461, 11541], 时长80
工件J2-工序O11: 机器M28, 时间[11541, 11581], 时长40
工件J2-工序O12: 机器M29, 时间[11581, 11611], 时长30
工件J2-工序O13: 机器M30, 时间[11870, 12070], 时长200
工件J3-工序O0: 机器M2, 时间[190, 280], 时长90
工件J3-工序O1: 机器M10, 时间[4963, 5603], 时长640
工件J3-工序O2: 机器M4, 时间[5674, 6026], 时长352
工件J3-工序O3: 机器M8, 时间[6416, 6748], 时长332
工件J3-工序O4: 机器M9, 时间[8021, 8041], 时长20
工件J3-工序O5: 机器M13, 时间[8041, 8061], 时长20
工件J3-工序O6: 机器M36, 时间[8625, 8877], 时长252
工件J3-工序O7: 机器M19, 时间[9141, 9381], 时长240
工件J3-工序O8: 机器M26, 时间[10071, 10201], 时长130
工件J3-工序O9: 机器M24, 时间[10201, 10241], 时长40
工件J3-工序O10: 机器M41, 时间[10241, 10321], 时长80
工件J3-工序O11: 机器M28, 时间[10321, 10361], 时长40
工件J3-工序O12: 机器M29, 时间[10667, 10697], 时长30
工件J3-工序O13: 机器M30, 时间[10857, 11057], 时长200
