================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 16:12:48
最优Makespan: 22976
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 112
调机节省总时间: 3964.0

批处理次数: 13

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[1401, 1491], 时长90
工件J0-工序O1: 机器M10, 时间[18746, 19386], 时长640
工件J0-工序O2: 机器M8, 时间[19403, 19805], 时长402
工件J0-工序O3: 机器M8, 时间[19805, 20187], 时长382
工件J0-工序O4: 机器M9, 时间[20187, 20209], 时长22
工件J0-工序O5: 机器M13, 时间[20209, 20229], 时长20
工件J0-工序O6: 机器M36, 时间[20278, 20530], 时长252
工件J0-工序O7: 机器M19, 时间[21706, 21886], 时长180
工件J0-工序O8: 机器M25, 时间[21966, 22096], 时长130
工件J0-工序O9: 机器M24, 时间[22096, 22136], 时长40
工件J0-工序O10: 机器M41, 时间[22136, 22216], 时长80
工件J0-工序O11: 机器M28, 时间[22216, 22256], 时长40
工件J0-工序O12: 机器M29, 时间[22256, 22286], 时长30
工件J0-工序O13: 机器M30, 时间[22776, 22976], 时长200
工件J1-工序O0: 机器M2, 时间[1491, 1581], 时长90
工件J1-工序O1: 机器M10, 时间[17048, 17688], 时长640
工件J1-工序O2: 机器M8, 时间[17688, 18090], 时长402
工件J1-工序O3: 机器M8, 时间[18090, 18472], 时长382
工件J1-工序O4: 机器M9, 时间[18472, 18494], 时长22
工件J1-工序O5: 机器M13, 时间[18494, 18514], 时长20
工件J1-工序O6: 机器M36, 时间[18514, 18766], 时长252
工件J1-工序O7: 机器M19, 时间[21526, 21706], 时长180
工件J1-工序O8: 机器M25, 时间[21706, 21836], 时长130
工件J1-工序O9: 机器M24, 时间[21836, 21876], 时长40
工件J1-工序O10: 机器M41, 时间[21876, 21956], 时长80
工件J1-工序O11: 机器M28, 时间[21956, 21996], 时长40
工件J1-工序O12: 机器M29, 时间[21996, 22026], 时长30
工件J1-工序O13: 机器M30, 时间[22576, 22776], 时长200
工件J2-工序O0: 机器M2, 时间[1261, 1351], 时长90
工件J2-工序O1: 机器M10, 时间[15602, 16242], 时长640
工件J2-工序O2: 机器M8, 时间[16242, 16644], 时长402
工件J2-工序O3: 机器M8, 时间[16644, 17026], 时长382
工件J2-工序O4: 机器M9, 时间[17026, 17048], 时长22
工件J2-工序O5: 机器M13, 时间[17048, 17068], 时长20
工件J2-工序O6: 机器M36, 时间[18766, 19018], 时长252
工件J2-工序O7: 机器M19, 时间[21166, 21346], 时长180
工件J2-工序O8: 机器M25, 时间[21446, 21576], 时长130
工件J2-工序O9: 机器M24, 时间[21576, 21616], 时长40
工件J2-工序O10: 机器M41, 时间[21616, 21696], 时长80
工件J2-工序O11: 机器M28, 时间[21696, 21736], 时长40
工件J2-工序O12: 机器M29, 时间[21736, 21766], 时长30
工件J2-工序O13: 机器M30, 时间[21776, 21976], 时长200
工件J3-工序O0: 机器M2, 时间[1581, 1671], 时长90
工件J3-工序O1: 机器M10, 时间[14156, 14796], 时长640
工件J3-工序O2: 机器M8, 时间[14796, 15198], 时长402
工件J3-工序O3: 机器M5, 时间[15198, 15580], 时长382
工件J3-工序O4: 机器M9, 时间[15580, 15602], 时长22
工件J3-工序O5: 机器M13, 时间[15904, 15924], 时长20
工件J3-工序O6: 机器M36, 时间[19774, 20026], 时长252
工件J3-工序O7: 机器M19, 时间[20026, 20266], 时长240
工件J3-工序O8: 机器M25, 时间[21836, 21966], 时长130
工件J3-工序O9: 机器M24, 时间[21966, 22006], 时长40
工件J3-工序O10: 机器M41, 时间[22006, 22086], 时长80
工件J3-工序O11: 机器M28, 时间[22086, 22126], 时长40
工件J3-工序O12: 机器M29, 时间[22126, 22156], 时长30
工件J3-工序O13: 机器M30, 时间[22176, 22376], 时长200
工件J4-工序O0: 机器M2, 时间[1081, 1171], 时长90
工件J4-工序O1: 机器M10, 时间[12710, 13350], 时长640
工件J4-工序O2: 机器M5, 时间[13350, 13752], 时长402
工件J4-工序O3: 机器M8, 时间[13752, 14134], 时长382
工件J4-工序O4: 机器M9, 时间[14134, 14156], 时长22
工件J4-工序O5: 机器M13, 时间[15884, 15904], 时长20
工件J4-工序O6: 机器M36, 时间[19522, 19774], 时长252
工件J4-工序O7: 机器M19, 时间[21346, 21526], 时长180
工件J4-工序O8: 机器M25, 时间[21576, 21706], 时长130
工件J4-工序O9: 机器M24, 时间[21706, 21746], 时长40
工件J4-工序O10: 机器M41, 时间[21746, 21826], 时长80
工件J4-工序O11: 机器M28, 时间[21826, 21866], 时长40
工件J4-工序O12: 机器M29, 时间[21866, 21896], 时长30
工件J4-工序O13: 机器M30, 时间[21976, 22176], 时长200
工件J5-工序O0: 机器M2, 时间[1671, 1761], 时长90
工件J5-工序O1: 机器M10, 时间[11264, 11904], 时长640
工件J5-工序O2: 机器M8, 时间[11904, 12306], 时长402
工件J5-工序O3: 机器M3, 时间[12306, 12688], 时长382
工件J5-工序O4: 机器M9, 时间[12688, 12710], 时长22
工件J5-工序O5: 机器M13, 时间[15864, 15884], 时长20
工件J5-工序O6: 机器M36, 时间[19018, 19270], 时长252
工件J5-工序O7: 机器M19, 时间[20806, 20986], 时长180
工件J5-工序O8: 机器M25, 时间[21036, 21186], 时长150
工件J5-工序O9: 机器M24, 时间[21186, 21226], 时长40
工件J5-工序O10: 机器M41, 时间[21226, 21306], 时长80
工件J5-工序O11: 机器M28, 时间[21306, 21346], 时长40
工件J5-工序O12: 机器M29, 时间[21346, 21376], 时长30
工件J5-工序O13: 机器M30, 时间[21376, 21576], 时长200
工件J6-工序O0: 机器M2, 时间[1171, 1261], 时长90
工件J6-工序O1: 机器M10, 时间[9818, 10458], 时长640
工件J6-工序O2: 机器M6, 时间[10458, 10860], 时长402
工件J6-工序O3: 机器M8, 时间[10860, 11242], 时长382
工件J6-工序O4: 机器M9, 时间[11242, 11264], 时长22
工件J6-工序O5: 机器M13, 时间[14421, 14441], 时长20
工件J6-工序O6: 机器M36, 时间[20026, 20278], 时长252
工件J6-工序O7: 机器M19, 时间[20626, 20806], 时长180
工件J6-工序O8: 机器M25, 时间[21316, 21446], 时长130
工件J6-工序O9: 机器M24, 时间[21446, 21486], 时长40
工件J6-工序O10: 机器M41, 时间[21486, 21566], 时长80
工件J6-工序O11: 机器M28, 时间[21566, 21606], 时长40
工件J6-工序O12: 机器M29, 时间[21606, 21636], 时长30
工件J6-工序O13: 机器M30, 时间[22376, 22576], 时长200
工件J7-工序O0: 机器M2, 时间[851, 941], 时长90
工件J7-工序O1: 机器M10, 时间[7338, 7978], 时长640
工件J7-工序O2: 机器M4, 时间[7978, 8380], 时长402
工件J7-工序O3: 机器M3, 时间[8380, 8762], 时长382
工件J7-工序O4: 机器M9, 时间[9796, 9818], 时长22
工件J7-工序O5: 机器M13, 时间[12971, 12991], 时长20
工件J7-工序O6: 机器M36, 时间[19270, 19522], 时长252
工件J7-工序O7: 机器M19, 时间[20986, 21166], 时长180
工件J7-工序O8: 机器M25, 时间[21186, 21316], 时长130
工件J7-工序O9: 机器M24, 时间[21316, 21356], 时长40
工件J7-工序O10: 机器M41, 时间[21356, 21436], 时长80
工件J7-工序O11: 机器M28, 时间[21436, 21476], 时长40
工件J7-工序O12: 机器M29, 时间[21476, 21506], 时长30
工件J7-工序O13: 机器M30, 时间[21576, 21776], 时长200
工件J8-工序O0: 机器M2, 时间[711, 801], 时长90
工件J8-工序O1: 机器M10, 时间[5892, 6532], 时长640
工件J8-工序O2: 机器M8, 时间[6532, 6934], 时长402
工件J8-工序O3: 机器M6, 时间[6934, 7316], 时长382
工件J8-工序O4: 机器M9, 时间[7316, 7338], 时长22
工件J8-工序O5: 机器M13, 时间[7338, 7358], 时长20
工件J8-工序O6: 机器M36, 时间[18262, 18514], 时长252
工件J8-工序O7: 机器M19, 时间[20446, 20626], 时长180
工件J8-工序O8: 机器M25, 时间[20626, 20756], 时长130
工件J8-工序O9: 机器M24, 时间[20756, 20796], 时长40
工件J8-工序O10: 机器M41, 时间[20796, 20876], 时长80
工件J8-工序O11: 机器M28, 时间[20876, 20916], 时长40
工件J8-工序O12: 机器M29, 时间[20916, 20946], 时长30
工件J8-工序O13: 机器M30, 时间[21016, 21216], 时长200
工件J9-工序O0: 机器M2, 时间[941, 1031], 时长90
工件J9-工序O1: 机器M10, 时间[4368, 5008], 时长640
工件J9-工序O2: 机器M8, 时间[5086, 5488], 时长402
工件J9-工序O3: 机器M4, 时间[5488, 5870], 时长382
工件J9-工序O4: 机器M9, 时间[5870, 5892], 时长22
工件J9-工序O5: 机器M13, 时间[5892, 5912], 时长20
工件J9-工序O6: 机器M36, 时间[17970, 18262], 时长292
工件J9-工序O7: 机器M19, 时间[20266, 20446], 时长180
工件J9-工序O8: 机器M25, 时间[20476, 20626], 时长150
工件J9-工序O9: 机器M24, 时间[20626, 20666], 时长40
工件J9-工序O10: 机器M41, 时间[20666, 20746], 时长80
工件J9-工序O11: 机器M28, 时间[20746, 20786], 时长40
工件J9-工序O12: 机器M29, 时间[20786, 20816], 时长30
工件J9-工序O13: 机器M30, 时间[20816, 21016], 时长200
工件J10-工序O0: 机器M2, 时间[1351, 1401], 时长50
工件J10-工序O1: 机器M6, 时间[1587, 1919], 时长332
工件J10-工序O2: 机器M5, 时间[2052, 2364], 时长312
工件J10-工序O3: 机器M9, 时间[2364, 2386], 时长22
工件J10-工序O4: 机器M10, 时间[3728, 4368], 时长640
工件J10-工序O5: 机器M13, 时间[4486, 4506], 时长20
工件J10-工序O6: 机器M17, 时间[5348, 5568], 时长220
工件J10-工序O7: 机器M19, 时间[5748, 6068], 时长320
工件J10-工序O8: 机器M23, 时间[6964, 7428], 时长464
工件J10-工序O9: 机器M41, 时间[7428, 7468], 时长40
工件J10-工序O10: 机器M25, 时间[8526, 8656], 时长130
工件J10-工序O11: 机器M6, 时间[9516, 9636], 时长120
工件J10-工序O12: 机器M9, 时间[9696, 9716], 时长20
工件J10-工序O13: 机器M24, 时间[11986, 12026], 时长40
工件J10-工序O14: 机器M42, 时间[15314, 16164], 时长850
工件J10-工序O15: 机器M28, 时间[16164, 16204], 时长40
工件J10-工序O16: 机器M29, 时间[16204, 16234], 时长30
工件J10-工序O17: 机器M30, 时间[20267, 20467], 时长200
工件J11-工序O0: 机器M2, 时间[0, 50], 时长50
工件J11-工序O1: 机器M3, 时间[50, 412], 时长362
工件J11-工序O2: 机器M8, 时间[2696, 3008], 时长312
工件J11-工序O3: 机器M9, 时间[3008, 3028], 时长20
工件J11-工序O4: 机器M10, 时间[3728, 4368], 时长640
工件J11-工序O5: 机器M13, 时间[4506, 4526], 时长20
工件J11-工序O6: 机器M17, 时间[5568, 5788], 时长220
工件J11-工序O7: 机器M19, 时间[6708, 7028], 时长320
工件J11-工序O8: 机器M23, 时间[7892, 8356], 时长464
工件J11-工序O9: 机器M41, 时间[8356, 8396], 时长40
工件J11-工序O10: 机器M25, 时间[8396, 8526], 时长130
工件J11-工序O11: 机器M6, 时间[8526, 8676], 时长150
工件J11-工序O12: 机器M9, 时间[9676, 9696], 时长20
工件J11-工序O13: 机器M24, 时间[9985, 10025], 时长40
工件J11-工序O14: 机器M42, 时间[16164, 17014], 时长850
工件J11-工序O15: 机器M28, 时间[17014, 17054], 时长40
工件J11-工序O16: 机器M29, 时间[17054, 17084], 时长30
工件J11-工序O17: 机器M30, 时间[17084, 17284], 时长200
工件J12-工序O0: 机器M2, 时间[441, 491], 时长50
工件J12-工序O1: 机器M3, 时间[1740, 2072], 时长332
工件J12-工序O2: 机器M8, 时间[2072, 2384], 时长312
工件J12-工序O3: 机器M9, 时间[3088, 3108], 时长20
工件J12-工序O4: 机器M10, 时间[3728, 4368], 时长640
工件J12-工序O5: 机器M13, 时间[4466, 4486], 时长20
工件J12-工序O6: 机器M17, 时间[4908, 5128], 时长220
工件J12-工序O7: 机器M19, 时间[6068, 6388], 时长320
工件J12-工序O8: 机器M23, 时间[8820, 9284], 时长464
工件J12-工序O9: 机器M41, 时间[9284, 9324], 时长40
工件J12-工序O10: 机器M25, 时间[9324, 9454], 时长130
工件J12-工序O11: 机器M6, 时间[9636, 9756], 时长120
工件J12-工序O12: 机器M9, 时间[9756, 9776], 时长20
工件J12-工序O13: 机器M24, 时间[11906, 11946], 时长40
工件J12-工序O14: 机器M42, 时间[17864, 18714], 时长850
工件J12-工序O15: 机器M28, 时间[18714, 18754], 时长40
工件J12-工序O16: 机器M29, 时间[18754, 18784], 时长30
工件J12-工序O17: 机器M30, 时间[18784, 18984], 时长200
工件J13-工序O0: 机器M2, 时间[801, 851], 时长50
工件J13-工序O1: 机器M6, 时间[923, 1255], 时长332
工件J13-工序O2: 机器M8, 时间[1448, 1760], 时长312
工件J13-工序O3: 机器M9, 时间[3108, 3128], 时长20
工件J13-工序O4: 机器M10, 时间[3728, 4368], 时长640
工件J13-工序O5: 机器M13, 时间[4446, 4466], 时长20
工件J13-工序O6: 机器M17, 时间[4468, 4688], 时长220
工件J13-工序O7: 机器M19, 时间[6388, 6708], 时长320
工件J13-工序O8: 机器M23, 时间[8356, 8820], 时长464
工件J13-工序O9: 机器M41, 时间[8820, 8860], 时长40
工件J13-工序O10: 机器M25, 时间[9174, 9324], 时长150
工件J13-工序O11: 机器M6, 时间[9396, 9516], 时长120
工件J13-工序O12: 机器M9, 时间[9776, 9796], 时长20
工件J13-工序O13: 机器M24, 时间[11806, 11846], 时长40
工件J13-工序O14: 机器M42, 时间[17014, 17864], 时长850
工件J13-工序O15: 机器M28, 时间[17864, 17904], 时长40
工件J13-工序O16: 机器M29, 时间[17904, 17934], 时长30
工件J13-工序O17: 机器M30, 时间[17934, 18134], 时长200
工件J14-工序O0: 机器M2, 时间[661, 711], 时长50
工件J14-工序O1: 机器M3, 时间[744, 1076], 时长332
工件J14-工序O2: 机器M8, 时间[2384, 2696], 时长312
工件J14-工序O3: 机器M9, 时间[3068, 3088], 时长20
工件J14-工序O4: 机器M10, 时间[3088, 3728], 时长640
工件J14-工序O5: 机器M13, 时间[3728, 3748], 时长20
工件J14-工序O6: 机器M17, 时间[4028, 4248], 时长220
工件J14-工序O7: 机器M19, 时间[4788, 5108], 时长320
工件J14-工序O8: 机器M23, 时间[5108, 5572], 时长464
工件J14-工序O9: 机器M41, 时间[5572, 5612], 时长40
工件J14-工序O10: 机器M25, 时间[8266, 8396], 时长130
工件J14-工序O11: 机器M6, 时间[8676, 8796], 时长120
工件J14-工序O12: 机器M9, 时间[9716, 9736], 时长20
工件J14-工序O13: 机器M24, 时间[12026, 12066], 时长40
工件J14-工序O14: 机器M42, 时间[13614, 14464], 时长850
工件J14-工序O15: 机器M28, 时间[14464, 14504], 时长40
工件J14-工序O16: 机器M29, 时间[14504, 14534], 时长30
工件J14-工序O17: 机器M30, 时间[14534, 14734], 时长200
工件J15-工序O0: 机器M2, 时间[50, 100], 时长50
工件J15-工序O1: 机器M3, 时间[1076, 1408], 时长332
工件J15-工序O2: 机器M8, 时间[1760, 2072], 时长312
工件J15-工序O3: 机器M9, 时间[2986, 3008], 时长22
工件J15-工序O4: 机器M10, 时间[3088, 3728], 时长640
