================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 16:21:43
最优Makespan: 31349
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 129
调机节省总时间: 4397.0

批处理次数: 0

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[1310, 1400], 时长90
工件J0-工序O1: 机器M10, 时间[4439, 5079], 时长640
工件J0-工序O2: 机器M3, 时间[5825, 6177], 时长352
工件J0-工序O3: 机器M7, 时间[19341, 19673], 时长332
工件J0-工序O4: 机器M9, 时间[22219, 22239], 时长20
工件J0-工序O5: 机器M13, 时间[22239, 22259], 时长20
工件J0-工序O6: 机器M36, 时间[23266, 23518], 时长252
工件J0-工序O7: 机器M19, 时间[23530, 23770], 时长240
工件J0-工序O8: 机器M27, 时间[27482, 27612], 时长130
工件J0-工序O9: 机器M24, 时间[28278, 28318], 时长40
工件J0-工序O10: 机器M41, 时间[28328, 28408], 时长80
工件J0-工序O11: 机器M28, 时间[28408, 28448], 时长40
工件J0-工序O12: 机器M29, 时间[28448, 28478], 时长30
工件J0-工序O13: 机器M30, 时间[29119, 29319], 时长200
工件J1-工序O0: 机器M2, 时间[1220, 1310], 时长90
工件J1-工序O1: 机器M10, 时间[4438, 5078], 时长640
工件J1-工序O2: 机器M3, 时间[6177, 6529], 时长352
工件J1-工序O3: 机器M3, 时间[21635, 21967], 时长332
工件J1-工序O4: 机器M9, 时间[22197, 22219], 时长22
工件J1-工序O5: 机器M13, 时间[22219, 22239], 时长20
工件J1-工序O6: 机器M36, 时间[23518, 23770], 时长252
工件J1-工序O7: 机器M19, 时间[23770, 23950], 时长180
工件J1-工序O8: 机器M25, 时间[26452, 26602], 时长150
工件J1-工序O9: 机器M24, 时间[26603, 26643], 时长40
工件J1-工序O10: 机器M41, 时间[27041, 27121], 时长80
工件J1-工序O11: 机器M28, 时间[27121, 27161], 时长40
工件J1-工序O12: 机器M29, 时间[27161, 27191], 时长30
工件J1-工序O13: 机器M30, 时间[27191, 27391], 时长200
工件J2-工序O0: 机器M2, 时间[1130, 1220], 时长90
工件J2-工序O1: 机器M10, 时间[4437, 5077], 时长640
工件J2-工序O2: 机器M4, 时间[7601, 7953], 时长352
工件J2-工序O3: 机器M7, 时间[19009, 19341], 时长332
工件J2-工序O4: 机器M9, 时间[22339, 22359], 时长20
工件J2-工序O5: 机器M13, 时间[22359, 22379], 时长20
工件J2-工序O6: 机器M32, 时间[23771, 24023], 时长252
工件J2-工序O7: 机器M14, 时间[26452, 26632], 时长180
工件J2-工序O8: 机器M27, 时间[27092, 27222], 时长130
工件J2-工序O9: 机器M24, 时间[27222, 27262], 时长40
工件J2-工序O10: 机器M41, 时间[27846, 27926], 时长80
工件J2-工序O11: 机器M28, 时间[27926, 27966], 时长40
工件J2-工序O12: 机器M29, 时间[27966, 27996], 时长30
工件J2-工序O13: 机器M30, 时间[29368, 29568], 时长200
工件J3-工序O0: 机器M2, 时间[1040, 1130], 时长90
工件J3-工序O1: 机器M10, 时间[4436, 5076], 时长640
工件J3-工序O2: 机器M4, 时间[7249, 7601], 时长352
工件J3-工序O3: 机器M3, 时间[21967, 22299], 时长332
工件J3-工序O4: 机器M9, 时间[22299, 22319], 时长20
工件J3-工序O5: 机器M13, 时间[22319, 22339], 时长20
工件J3-工序O6: 机器M32, 时间[22975, 23267], 时长292
工件J3-工序O7: 机器M14, 时间[26092, 26272], 时长180
工件J3-工序O8: 机器M25, 时间[26602, 26732], 时长130
工件J3-工序O9: 机器M24, 时间[27978, 28018], 时长40
工件J3-工序O10: 机器M41, 时间[28018, 28098], 时长80
工件J3-工序O11: 机器M28, 时间[28098, 28138], 时长40
工件J3-工序O12: 机器M29, 时间[28138, 28168], 时长30
工件J3-工序O13: 机器M30, 时间[28518, 28718], 时长200
工件J4-工序O0: 机器M2, 时间[950, 1040], 时长90
工件J4-工序O1: 机器M10, 时间[4435, 5075], 时长640
工件J4-工序O2: 机器M3, 时间[6529, 6881], 时长352
工件J4-工序O3: 机器M7, 时间[18627, 19009], 时长382
工件J4-工序O4: 机器M9, 时间[22239, 22259], 时长20
工件J4-工序O5: 机器M13, 时间[22259, 22279], 时长20
工件J4-工序O6: 机器M32, 时间[23519, 23771], 时长252
工件J4-工序O7: 机器M14, 时间[25852, 26092], 时长240
工件J4-工序O8: 机器M25, 时间[26732, 26862], 时长130
工件J4-工序O9: 机器M24, 时间[26862, 26902], 时长40
工件J4-工序O10: 机器M41, 时间[26902, 26982], 时长80
工件J4-工序O11: 机器M28, 时间[26982, 27022], 时长40
工件J4-工序O12: 机器M29, 时间[27022, 27052], 时长30
工件J4-工序O13: 机器M30, 时间[27591, 27791], 时长200
工件J5-工序O0: 机器M2, 时间[860, 950], 时长90
工件J5-工序O1: 机器M10, 时间[4186, 4826], 时长640
工件J5-工序O2: 机器M4, 时间[6545, 6897], 时长352
工件J5-工序O3: 机器M7, 时间[20005, 20337], 时长332
工件J5-工序O4: 机器M9, 时间[22379, 22399], 时长20
工件J5-工序O5: 机器M13, 时间[22722, 22742], 时长20
工件J5-工序O6: 机器M32, 时间[23267, 23519], 时长252
工件J5-工序O7: 机器M18, 时间[23938, 24118], 时长180
工件J5-工序O8: 机器M27, 时间[27222, 27352], 时长130
工件J5-工序O9: 机器M24, 时间[28018, 28058], 时长40
工件J5-工序O10: 机器M41, 时间[28248, 28328], 时长80
工件J5-工序O11: 机器M28, 时间[28328, 28368], 时长40
工件J5-工序O12: 机器M29, 时间[28368, 28398], 时长30
工件J5-工序O13: 机器M30, 时间[28718, 28918], 时长200
工件J6-工序O0: 机器M2, 时间[770, 860], 时长90
工件J6-工序O1: 机器M10, 时间[4185, 4825], 时长640
工件J6-工序O2: 机器M4, 时间[6897, 7249], 时长352
工件J6-工序O3: 机器M7, 时间[19673, 20005], 时长332
工件J6-工序O4: 机器M9, 时间[22319, 22339], 时长20
工件J6-工序O5: 机器M13, 时间[22339, 22359], 时长20
工件J6-工序O6: 机器M36, 时间[23014, 23266], 时长252
工件J6-工序O7: 机器M18, 时间[23698, 23938], 时长240
工件J6-工序O8: 机器M27, 时间[27352, 27482], 时长130
工件J6-工序O9: 机器M24, 时间[27726, 27766], 时长40
工件J6-工序O10: 机器M41, 时间[27766, 27846], 时长80
工件J6-工序O11: 机器M28, 时间[27846, 27886], 时长40
工件J6-工序O12: 机器M29, 时间[27886, 27916], 时长30
工件J6-工序O13: 机器M30, 时间[27916, 28116], 时长200
工件J7-工序O0: 机器M2, 时间[680, 770], 时长90
工件J7-工序O1: 机器M10, 时间[4184, 4824], 时长640
工件J7-工序O2: 机器M3, 时间[6881, 7233], 时长352
工件J7-工序O3: 机器M3, 时间[20589, 20971], 时长382
工件J7-工序O4: 机器M9, 时间[22279, 22299], 时长20
工件J7-工序O5: 机器M13, 时间[22299, 22319], 时长20
工件J7-工序O6: 机器M32, 时间[24023, 24275], 时长252
工件J7-工序O7: 机器M14, 时间[26632, 26812], 时长180
工件J7-工序O8: 机器M27, 时间[26812, 26962], 时长150
工件J7-工序O9: 机器M24, 时间[27533, 27573], 时长40
工件J7-工序O10: 机器M41, 时间[27573, 27653], 时长80
工件J7-工序O11: 机器M28, 时间[27653, 27693], 时长40
工件J7-工序O12: 机器M29, 时间[27693, 27723], 时长30
工件J7-工序O13: 机器M30, 时间[29568, 29768], 时长200
工件J8-工序O0: 机器M2, 时间[90, 180], 时长90
工件J8-工序O1: 机器M10, 时间[4183, 4823], 时长640
工件J8-工序O2: 机器M4, 时间[6143, 6545], 时长402
工件J8-工序O3: 机器M3, 时间[20971, 21303], 时长332
工件J8-工序O4: 机器M9, 时间[22359, 22379], 时长20
工件J8-工序O5: 机器M13, 时间[22379, 22399], 时长20
工件J8-工序O6: 机器M36, 时间[22762, 23014], 时长252
工件J8-工序O7: 机器M18, 时间[24118, 24298], 时长180
工件J8-工序O8: 机器M27, 时间[27612, 27742], 时长130
工件J8-工序O9: 机器M24, 时间[28058, 28098], 时长40
工件J8-工序O10: 机器M41, 时间[28098, 28178], 时长80
工件J8-工序O11: 机器M28, 时间[28248, 28288], 时长40
工件J8-工序O12: 机器M29, 时间[28288, 28318], 时长30
工件J8-工序O13: 机器M30, 时间[28318, 28518], 时长200
工件J9-工序O0: 机器M2, 时间[0, 90], 时长90
工件J9-工序O1: 机器M10, 时间[4182, 4822], 时长640
工件J9-工序O2: 机器M3, 时间[5423, 5825], 时长402
工件J9-工序O3: 机器M3, 时间[21303, 21635], 时长332
工件J9-工序O4: 机器M9, 时间[22259, 22279], 时长20
工件J9-工序O5: 机器M13, 时间[22279, 22299], 时长20
工件J9-工序O6: 机器M36, 时间[22470, 22762], 时长292
工件J9-工序O7: 机器M14, 时间[26272, 26452], 时长180
工件J9-工序O8: 机器M27, 时间[26962, 27092], 时长130
工件J9-工序O9: 机器M24, 时间[27131, 27171], 时长40
工件J9-工序O10: 机器M41, 时间[27171, 27251], 时长80
工件J9-工序O11: 机器M28, 时间[27251, 27291], 时长40
工件J9-工序O12: 机器M29, 时间[27291, 27321], 时长30
工件J9-工序O13: 机器M30, 时间[27391, 27591], 时长200
工件J10-工序O0: 机器M2, 时间[630, 680], 时长50
工件J10-工序O1: 机器M4, 时间[1556, 1888], 时长332
工件J10-工序O2: 机器M3, 时间[2472, 2784], 时长312
工件J10-工序O3: 机器M9, 时间[3358, 3378], 时长20
工件J10-工序O4: 机器M10, 时间[3499, 4139], 时长640
工件J10-工序O5: 机器M13, 时间[4182, 4202], 时长20
工件J10-工序O6: 机器M17, 时间[4887, 5107], 时长220
工件J10-工序O7: 机器M19, 时间[6483, 6803], 时长320
工件J10-工序O8: 机器M23, 时间[7025, 7489], 时长464
工件J10-工序O9: 机器M41, 时间[7489, 7529], 时长40
工件J10-工序O10: 机器M27, 时间[21881, 22011], 时长130
工件J10-工序O11: 机器M8, 时间[22428, 22548], 时长120
工件J10-工序O12: 机器M9, 时间[24159, 24179], 时长20
工件J10-工序O13: 机器M24, 时间[28388, 28428], 时长40
工件J10-工序O14: 机器M42, 时间[29379, 30229], 时长850
工件J10-工序O15: 机器M28, 时间[30229, 30269], 时长40
工件J10-工序O16: 机器M29, 时间[30269, 30299], 时长30
工件J10-工序O17: 机器M30, 时间[30369, 30569], 时长200
工件J11-工序O0: 机器M2, 时间[580, 630], 时长50
工件J11-工序O1: 机器M4, 时间[1888, 2220], 时长332
工件J11-工序O2: 机器M3, 时间[2784, 3096], 时长312
工件J11-工序O3: 机器M9, 时间[3478, 3498], 时长20
工件J11-工序O4: 机器M10, 时间[3498, 4138], 时长640
工件J11-工序O5: 机器M13, 时间[4138, 4158], 时长20
工件J11-工序O6: 机器M17, 时间[4162, 4447], 时长285
工件J11-工序O7: 机器M18, 时间[4447, 4787], 时长340
工件J11-工序O8: 机器M22, 时间[7119, 7583], 时长464
工件J11-工序O9: 机器M41, 时间[8921, 8961], 时长40
工件J11-工序O10: 机器M27, 时间[22401, 22531], 时长130
工件J11-工序O11: 机器M5, 时间[23737, 23857], 时长120
工件J11-工序O12: 机器M9, 时间[24219, 24239], 时长20
工件J11-工序O13: 机器M24, 时间[24239, 24279], 时长40
工件J11-工序O14: 机器M42, 时间[24279, 25129], 时长850
工件J11-工序O15: 机器M28, 时间[25129, 25169], 时长40
工件J11-工序O16: 机器M29, 时间[25169, 25199], 时长30
工件J11-工序O17: 机器M30, 时间[25379, 25579], 时长200
工件J12-工序O0: 机器M2, 时间[530, 580], 时长50
工件J12-工序O1: 机器M6, 时间[1668, 2000], 时长332
工件J12-工序O2: 机器M5, 时间[2522, 2834], 时长312
工件J12-工序O3: 机器M9, 时间[3296, 3318], 时长22
工件J12-工序O4: 机器M10, 时间[3480, 4120], 时长640
工件J12-工序O5: 机器M13, 时间[4262, 4282], 时长20
工件J12-工序O6: 机器M17, 时间[5327, 5547], 时长220
工件J12-工序O7: 机器M19, 时间[6163, 6483], 时长320
