================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 14:57:34
最优Makespan: 26779
工件总数: 20
机器总数: 43
工序总数: 310

调机优化次数: 144
调机节省总时间: 5197.0

批处理次数: 4

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[301, 351], 时长50
工件J0-工序O1: 机器M8, 时间[915, 1491], 时长576
工件J0-工序O2: 机器M9, 时间[3659, 3679], 时长20
工件J0-工序O3: 机器M8, 时间[4133, 4405], 时长272
工件J0-工序O4: 机器M25, 时间[5047, 5337], 时长290
工件J0-工序O5: 机器M19, 时间[11189, 11419], 时长230
工件J0-工序O6: 机器M11, 时间[14539, 15139], 时长600
工件J0-工序O7: 机器M36, 时间[15139, 16751], 时长1612
工件J0-工序O8: 机器M19, 时间[22553, 22733], 时长180
工件J0-工序O9: 机器M35, 时间[22956, 23948], 时长992
工件J0-工序O10: 机器M28, 时间[24634, 24674], 时长40
工件J0-工序O11: 机器M29, 时间[24674, 24704], 时长30
工件J0-工序O12: 机器M30, 时间[25179, 25379], 时长200
工件J1-工序O0: 机器M2, 时间[901, 951], 时长50
工件J1-工序O1: 机器M5, 时间[1513, 2025], 时长512
工件J1-工序O2: 机器M9, 时间[3497, 3519], 时长22
工件J1-工序O3: 机器M8, 时间[4405, 4677], 时长272
工件J1-工序O4: 机器M25, 时间[6207, 6497], 时长290
工件J1-工序O5: 机器M19, 时间[11599, 11779], 时长180
工件J1-工序O6: 机器M11, 时间[13939, 14539], 时长600
工件J1-工序O7: 机器M35, 时间[16748, 18300], 时长1552
工件J1-工序O8: 机器M19, 时间[21803, 22013], 时长210
工件J1-工序O9: 机器M36, 时间[22284, 23276], 时长992
工件J1-工序O10: 机器M28, 时间[24674, 24714], 时长40
工件J1-工序O11: 机器M29, 时间[24714, 24744], 时长30
工件J1-工序O12: 机器M30, 时间[24744, 24944], 时长200
工件J2-工序O0: 机器M2, 时间[951, 1001], 时长50
工件J2-工序O1: 机器M5, 时间[1001, 1513], 时长512
工件J2-工序O2: 机器M9, 时间[3579, 3599], 时长20
工件J2-工序O3: 机器M8, 时间[4677, 4949], 时长272
工件J2-工序O4: 机器M25, 时间[7077, 7367], 时长290
工件J2-工序O5: 机器M19, 时间[11419, 11599], 时长180
工件J2-工序O6: 机器M11, 时间[13939, 14539], 时长600
工件J2-工序O7: 机器M35, 时间[15196, 16748], 时长1552
工件J2-工序O8: 机器M19, 时间[22373, 22553], 时长180
工件J2-工序O9: 机器M36, 时间[23276, 24228], 时长952
工件J2-工序O10: 机器M28, 时间[24714, 24754], 时长40
工件J2-工序O11: 机器M29, 时间[24754, 24784], 时长30
工件J2-工序O12: 机器M30, 时间[25779, 25979], 时长200
工件J3-工序O0: 机器M2, 时间[0, 50], 时长50
工件J3-工序O1: 机器M5, 时间[425, 1001], 时长576
工件J3-工序O2: 机器M9, 时间[3599, 3619], 时长20
工件J3-工序O3: 机器M7, 时间[3619, 3941], 时长322
工件J3-工序O4: 机器M25, 时间[6787, 7077], 时长290
工件J3-工序O5: 机器M15, 时间[7848, 8028], 时长180
工件J3-工序O6: 机器M11, 时间[11179, 11779], 时长600
工件J3-工序O7: 机器M35, 时间[18300, 19852], 时长1552
工件J3-工序O8: 机器M18, 时间[24228, 24408], 时长180
工件J3-工序O9: 机器M31, 时间[25040, 25992], 时长952
工件J3-工序O10: 机器M28, 时间[25992, 26032], 时长40
工件J3-工序O11: 机器M29, 时间[26032, 26062], 时长30
工件J3-工序O12: 机器M30, 时间[26179, 26379], 时长200
工件J4-工序O0: 机器M2, 时间[751, 801], 时长50
工件J4-工序O1: 机器M8, 时间[2515, 3027], 时长512
工件J4-工序O2: 机器M9, 时间[3559, 3579], 时长20
工件J4-工序O3: 机器M8, 时间[3811, 4133], 时长322
工件J4-工序O4: 机器M25, 时间[5917, 6207], 时长290
工件J4-工序O5: 机器M15, 时间[8028, 8208], 时长180
工件J4-工序O6: 机器M11, 时间[10128, 10728], 时长600
工件J4-工序O7: 机器M35, 时间[19852, 21404], 时长1552
工件J4-工序O8: 机器M18, 时间[24048, 24228], 时长180
工件J4-工序O9: 机器M36, 时间[24228, 25180], 时长952
工件J4-工序O10: 机器M28, 时间[25180, 25220], 时长40
工件J4-工序O11: 机器M29, 时间[25220, 25250], 时长30
工件J4-工序O12: 机器M30, 时间[25979, 26179], 时长200
工件J5-工序O0: 机器M2, 时间[651, 701], 时长50
工件J5-工序O1: 机器M5, 时间[2537, 3049], 时长512
工件J5-工序O2: 机器M9, 时间[3639, 3659], 时长20
工件J5-工序O3: 机器M6, 时间[3961, 4233], 时长272
工件J5-工序O4: 机器M25, 时间[4437, 4757], 时长320
工件J5-工序O5: 机器M15, 时间[7488, 7668], 时长180
工件J5-工序O6: 机器M11, 时间[9528, 10128], 时长600
工件J5-工序O7: 机器M35, 时间[13644, 15196], 时长1552
工件J5-工序O8: 机器M19, 时间[22013, 22193], 时长180
工件J5-工序O9: 机器M33, 时间[23365, 24317], 时长952
工件J5-工序O10: 机器M28, 时间[25852, 25892], 时长40
工件J5-工序O11: 机器M29, 时间[25892, 25922], 时长30
工件J5-工序O12: 机器M30, 时间[26379, 26579], 时长200
工件J6-工序O0: 机器M2, 时间[551, 601], 时长50
工件J6-工序O1: 机器M8, 时间[2003, 2515], 时长512
工件J6-工序O2: 机器M9, 时间[3679, 3699], 时长20
工件J6-工序O3: 机器M7, 时间[4213, 4485], 时长272
工件J6-工序O4: 机器M25, 时间[6497, 6787], 时长290
工件J6-工序O5: 机器M15, 时间[7668, 7848], 时长180
工件J6-工序O6: 机器M11, 时间[8928, 9528], 时长600
工件J6-工序O7: 机器M35, 时间[12092, 13644], 时长1552
工件J6-工序O8: 机器M18, 时间[23868, 24048], 时长180
工件J6-工序O9: 机器M31, 时间[24048, 25040], 时长992
工件J6-工序O10: 机器M28, 时间[25220, 25260], 时长40
工件J6-工序O11: 机器M29, 时间[25260, 25290], 时长30
工件J6-工序O12: 机器M30, 时间[25379, 25579], 时长200
工件J7-工序O0: 机器M2, 时间[801, 851], 时长50
工件J7-工序O1: 机器M5, 时间[2025, 2537], 时长512
工件J7-工序O2: 机器M9, 时间[3619, 3639], 时长20
工件J7-工序O3: 机器M6, 时间[3639, 3961], 时长322
工件J7-工序O4: 机器M25, 时间[5337, 5627], 时长290
工件J7-工序O5: 机器M15, 时间[7128, 7308], 时长180
工件J7-工序O6: 机器M11, 时间[7728, 8328], 时长600
工件J7-工序O7: 机器M35, 时间[21404, 22956], 时长1552
工件J7-工序O8: 机器M18, 时间[24408, 24588], 时长180
工件J7-工序O9: 机器M36, 时间[25180, 26132], 时长952
工件J7-工序O10: 机器M28, 时间[26172, 26212], 时长40
工件J7-工序O11: 机器M29, 时间[26212, 26242], 时长30
工件J7-工序O12: 机器M30, 时间[26579, 26779], 时长200
工件J8-工序O0: 机器M2, 时间[851, 901], 时长50
工件J8-工序O1: 机器M8, 时间[3027, 3539], 时长512
工件J8-工序O2: 机器M9, 时间[3539, 3559], 时长20
工件J8-工序O3: 机器M7, 时间[3941, 4213], 时长272
工件J8-工序O4: 机器M25, 时间[5627, 5917], 时长290
工件J8-工序O5: 机器M15, 时间[7308, 7488], 时长180
工件J8-工序O6: 机器M11, 时间[8328, 8928], 时长600
工件J8-工序O7: 机器M35, 时间[8928, 10540], 时长1612
工件J8-工序O8: 机器M18, 时间[23658, 23868], 时长210
工件J8-工序O9: 机器M35, 时间[23948, 24900], 时长952
工件J8-工序O10: 机器M28, 时间[24900, 24940], 时长40
工件J8-工序O11: 机器M29, 时间[24940, 24970], 时长30
工件J8-工序O12: 机器M30, 时间[25579, 25779], 时长200
工件J9-工序O0: 机器M2, 时间[351, 401], 时长50
工件J9-工序O1: 机器M8, 时间[1491, 2003], 时长512
工件J9-工序O2: 机器M9, 时间[3519, 3539], 时长20
工件J9-工序O3: 机器M7, 时间[4485, 4757], 时长272
工件J9-工序O4: 机器M25, 时间[4757, 5047], 时长290
工件J9-工序O5: 机器M15, 时间[6898, 7128], 时长230
工件J9-工序O6: 机器M11, 时间[7128, 7728], 时长600
工件J9-工序O7: 机器M35, 时间[10540, 12092], 时长1552
工件J9-工序O8: 机器M19, 时间[22193, 22373], 时长180
工件J9-工序O9: 机器M33, 时间[22373, 23365], 时长992
工件J9-工序O10: 机器M28, 时间[23365, 23405], 时长40
工件J9-工序O11: 机器M29, 时间[23405, 23435], 时长30
工件J9-工序O12: 机器M30, 时间[23435, 23635], 时长200
工件J10-工序O0: 机器M1, 时间[50, 100], 时长50
工件J10-工序O1: 机器M4, 时间[2072, 2404], 时长332
工件J10-工序O2: 机器M3, 时间[3762, 4074], 时长312
工件J10-工序O3: 机器M9, 时间[4656, 4678], 时长22
工件J10-工序O4: 机器M10, 时间[4718, 5358], 时长640
工件J10-工序O5: 机器M13, 时间[5378, 5398], 时长20
工件J10-工序O6: 机器M18, 时间[5818, 6038], 时长220
工件J10-工序O7: 机器M17, 时间[7329, 7649], 时长320
工件J10-工序O8: 机器M22, 时间[7921, 8465], 时长544
工件J10-工序O9: 机器M41, 时间[8465, 8505], 时长40
工件J10-工序O10: 机器M26, 时间[14016, 14146], 时长130
工件J10-工序O11: 机器M7, 时间[15326, 15446], 时长120
工件J10-工序O12: 机器M9, 时间[16059, 16079], 时长20
工件J10-工序O13: 机器M24, 时间[16099, 16139], 时长40
工件J10-工序O14: 机器M42, 时间[22894, 23744], 时长850
工件J10-工序O15: 机器M28, 时间[23744, 23784], 时长40
工件J10-工序O16: 机器M29, 时间[24064, 24094], 时长30
工件J10-工序O17: 机器M30, 时间[24094, 24294], 时长200
工件J11-工序O0: 机器M2, 时间[1151, 1201], 时长50
工件J11-工序O1: 机器M4, 时间[3068, 3400], 时长332
工件J11-工序O2: 机器M5, 时间[4024, 4386], 时长362
工件J11-工序O3: 机器M9, 时间[4718, 4738], 时长20
工件J11-工序O4: 机器M10, 时间[7278, 7918], 时长640
工件J11-工序O5: 机器M13, 时间[8569, 8589], 时长20
工件J11-工序O6: 机器M19, 时间[8589, 8809], 时长220
工件J11-工序O7: 机器M17, 时间[9889, 10209], 时长320
工件J11-工序O8: 机器M23, 时间[11794, 12258], 时长464
工件J11-工序O9: 机器M41, 时间[12297, 12337], 时长40
工件J11-工序O10: 机器M25, 时间[14306, 14456], 时长150
工件J11-工序O11: 机器M7, 时间[14936, 15086], 时长150
工件J11-工序O12: 机器M9, 时间[16119, 16139], 时长20
工件J11-工序O13: 机器M24, 时间[17433, 17473], 时长40
工件J11-工序O14: 机器M42, 时间[21194, 22044], 时长850
工件J11-工序O15: 机器M28, 时间[22044, 22084], 时长40
工件J11-工序O16: 机器M29, 时间[22294, 22324], 时长30
工件J11-工序O17: 机器M30, 时间[22324, 22524], 时长200
工件J12-工序O0: 机器M2, 时间[1201, 1251], 时长50
工件J12-工序O1: 机器M4, 时间[2736, 3068], 时长332
工件J12-工序O2: 机器M3, 时间[3450, 3762], 时长312
