================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 15:09:12
最优Makespan: 17099
工件总数: 20
机器总数: 43
工序总数: 310

调机优化次数: 149
调机节省总时间: 5460.0

批处理次数: 20

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[50, 100], 时长50
工件J0-工序O1: 机器M8, 时间[1408, 1984], 时长576
工件J0-工序O2: 机器M9, 时间[3440, 3460], 时长20
工件J0-工序O3: 机器M7, 时间[5462, 5734], 时长272
工件J0-工序O4: 机器M26, 时间[5890, 6180], 时长290
工件J0-工序O5: 机器M19, 时间[6324, 6504], 时长180
工件J0-工序O6: 机器M11, 时间[6804, 7404], 时长600
工件J0-工序O7: 机器M36, 时间[13330, 14882], 时长1552
工件J0-工序O8: 机器M19, 时间[14882, 15062], 时长180
工件J0-工序O9: 机器M34, 时间[15063, 16015], 时长952
工件J0-工序O10: 机器M28, 时间[16019, 16059], 时长40
工件J0-工序O11: 机器M29, 时间[16095, 16125], 时长30
工件J0-工序O12: 机器M30, 时间[16280, 16480], 时长200
工件J1-工序O0: 机器M2, 时间[500, 550], 时长50
工件J1-工序O1: 机器M8, 时间[2496, 3008], 时长512
工件J1-工序O2: 机器M9, 时间[3420, 3440], 时长20
工件J1-工序O3: 机器M7, 时间[4374, 4646], 时长272
工件J1-工序O4: 机器M26, 时间[5310, 5600], 时长290
工件J1-工序O5: 机器M19, 时间[6504, 6684], 时长180
工件J1-工序O6: 机器M11, 时间[8004, 8604], 时长600
工件J1-工序O7: 机器M36, 时间[11778, 13330], 时长1552
工件J1-工序O8: 机器M19, 时间[14672, 14882], 时长210
工件J1-工序O9: 机器M32, 时间[14882, 15834], 时长952
工件J1-工序O10: 机器M28, 时间[15834, 15874], 时长40
工件J1-工序O11: 机器M29, 时间[15874, 15904], 时长30
工件J1-工序O12: 机器M30, 时间[16680, 16880], 时长200
工件J2-工序O0: 机器M2, 时间[600, 650], 时长50
工件J2-工序O1: 机器M7, 时间[676, 1188], 时长512
工件J2-工序O2: 机器M9, 时间[3398, 3420], 时长22
工件J2-工序O3: 机器M7, 时间[4918, 5190], 时长272
工件J2-工序O4: 机器M26, 时间[5600, 5890], 时长290
工件J2-工序O5: 机器M19, 时间[6144, 6324], 时长180
工件J2-工序O6: 机器M11, 时间[7404, 8004], 时长600
工件J2-工序O7: 机器M36, 时间[8674, 10226], 时长1552
工件J2-工序O8: 机器M19, 时间[11958, 12138], 时长180
工件J2-工序O9: 机器M35, 时间[12138, 13130], 时长992
工件J2-工序O10: 机器M28, 时间[13158, 13198], 时长40
工件J2-工序O11: 机器M29, 时间[13198, 13228], 时长30
工件J2-工序O12: 机器M30, 时间[13228, 13428], 时长200
工件J3-工序O0: 机器M2, 时间[200, 250], 时长50
工件J3-工序O1: 机器M7, 时间[1188, 1700], 时长512
工件J3-工序O2: 机器M9, 时间[2968, 2988], 时长20
工件J3-工序O3: 机器M7, 时间[3236, 3558], 时长322
工件J3-工序O4: 机器M27, 时间[5172, 5492], 时长320
工件J3-工序O5: 机器M19, 时间[5604, 5784], 时长180
工件J3-工序O6: 机器M11, 时间[6204, 6804], 时长600
工件J3-工序O7: 机器M36, 时间[7122, 8674], 时长1552
工件J3-工序O8: 机器M19, 时间[11568, 11778], 时长210
工件J3-工序O9: 机器M35, 时间[13130, 14082], 时长952
工件J3-工序O10: 机器M28, 时间[14110, 14150], 时长40
工件J3-工序O11: 机器M29, 时间[14150, 14180], 时长30
工件J3-工序O12: 机器M30, 时间[14180, 14380], 时长200
工件J4-工序O0: 机器M1, 时间[300, 350], 时长50
工件J4-工序O1: 机器M7, 时间[2724, 3236], 时长512
工件J4-工序O2: 机器M9, 时间[3480, 3500], 时长20
工件J4-工序O3: 机器M7, 时间[5734, 6006], 时长272
工件J4-工序O4: 机器M26, 时间[6180, 6470], 时长290
工件J4-工序O5: 机器M19, 时间[6684, 6864], 时长180
工件J4-工序O6: 机器M11, 时间[9626, 10226], 时长600
工件J4-工序O7: 机器M34, 时间[10226, 11778], 时长1552
工件J4-工序O8: 机器M19, 时间[12498, 12678], 时长180
工件J4-工序O9: 机器M34, 时间[13159, 14111], 时长952
工件J4-工序O10: 机器M28, 时间[15062, 15102], 时长40
工件J4-工序O11: 机器M29, 时间[15103, 15133], 时长30
工件J4-工序O12: 机器M30, 时间[15680, 15880], 时长200
工件J5-工序O0: 机器M2, 时间[450, 500], 时长50
工件J5-工序O1: 机器M8, 时间[1984, 2496], 时长512
工件J5-工序O2: 机器M9, 时间[2946, 2968], 时长22
工件J5-工序O3: 机器M7, 时间[5190, 5462], 时长272
工件J5-工序O4: 机器M27, 时间[5492, 5782], 时长290
工件J5-工序O5: 机器M19, 时间[5784, 5964], 时长180
工件J5-工序O6: 机器M11, 时间[6204, 6804], 时长600
工件J5-工序O7: 机器M34, 时间[8674, 10226], 时长1552
工件J5-工序O8: 机器M19, 时间[12678, 12858], 时长180
工件J5-工序O9: 机器M32, 时间[12938, 13930], 时长992
工件J5-工序O10: 机器M28, 时间[13930, 13970], 时长40
工件J5-工序O11: 机器M29, 时间[13970, 14000], 时长30
工件J5-工序O12: 机器M30, 时间[14580, 14780], 时长200
工件J6-工序O0: 机器M1, 时间[50, 100], 时长50
工件J6-工序O1: 机器M7, 时间[100, 676], 时长576
工件J6-工序O2: 机器M9, 时间[3460, 3480], 时长20
工件J6-工序O3: 机器M7, 时间[3558, 3830], 时长272
工件J6-工序O4: 机器M26, 时间[4730, 5020], 时长290
工件J6-工序O5: 机器M19, 时间[5964, 6144], 时长180
工件J6-工序O6: 机器M11, 时间[6204, 6804], 时长600
工件J6-工序O7: 机器M36, 时间[10226, 11778], 时长1552
工件J6-工序O8: 机器M19, 时间[11778, 11958], 时长180
工件J6-工序O9: 机器M34, 时间[12167, 13159], 时长992
工件J6-工序O10: 机器M28, 时间[14803, 14843], 时长40
工件J6-工序O11: 机器M29, 时间[14843, 14873], 时长30
工件J6-工序O12: 机器M30, 时间[14873, 15073], 时长200
工件J7-工序O0: 机器M2, 时间[350, 400], 时长50
工件J7-工序O1: 机器M7, 时间[1700, 2212], 时长512
工件J7-工序O2: 机器M9, 时间[3500, 3520], 时长20
工件J7-工序O3: 机器M7, 时间[4646, 4918], 时长272
工件J7-工序O4: 机器M26, 时间[5020, 5310], 时长290
工件J7-工序O5: 机器M19, 时间[5374, 5604], 时长230
工件J7-工序O6: 机器M11, 时间[5604, 6204], 时长600
