================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 15:51:02
最优Makespan: 20212
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 112
调机节省总时间: 3944.0

批处理次数: 21

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[50, 140], 时长90
工件J0-工序O1: 机器M10, 时间[16228, 16868], 时长640
工件J0-工序O2: 机器M8, 时间[16868, 17270], 时长402
工件J0-工序O3: 机器M8, 时间[17270, 17652], 时长382
工件J0-工序O4: 机器M9, 时间[17652, 17674], 时长22
工件J0-工序O5: 机器M13, 时间[17674, 17694], 时长20
工件J0-工序O6: 机器M36, 时间[17694, 17946], 时长252
工件J0-工序O7: 机器M19, 时间[17946, 18126], 时长180
工件J0-工序O8: 机器M27, 时间[18126, 18276], 时长150
工件J0-工序O9: 机器M24, 时间[18276, 18316], 时长40
工件J0-工序O10: 机器M41, 时间[18316, 18396], 时长80
工件J0-工序O11: 机器M28, 时间[18396, 18436], 时长40
工件J0-工序O12: 机器M29, 时间[18436, 18466], 时长30
工件J0-工序O13: 机器M30, 时间[18466, 18666], 时长200
工件J1-工序O0: 机器M2, 时间[740, 830], 时长90
工件J1-工序O1: 机器M10, 时间[14782, 15422], 时长640
工件J1-工序O2: 机器M8, 时间[15422, 15824], 时长402
工件J1-工序O3: 机器M8, 时间[15824, 16206], 时长382
工件J1-工序O4: 机器M9, 时间[16206, 16228], 时长22
工件J1-工序O5: 机器M13, 时间[16228, 16248], 时长20
工件J1-工序O6: 机器M36, 时间[17190, 17442], 时长252
工件J1-工序O7: 机器M19, 时间[18126, 18306], 时长180
工件J1-工序O8: 机器M27, 时间[18406, 18536], 时长130
工件J1-工序O9: 机器M24, 时间[18536, 18576], 时长40
工件J1-工序O10: 机器M41, 时间[18576, 18656], 时长80
工件J1-工序O11: 机器M28, 时间[18656, 18696], 时长40
工件J1-工序O12: 机器M29, 时间[18696, 18726], 时长30
工件J1-工序O13: 机器M30, 时间[19066, 19266], 时长200
工件J2-工序O0: 机器M1, 时间[290, 380], 时长90
工件J2-工序O1: 机器M10, 时间[13336, 13976], 时长640
工件J2-工序O2: 机器M8, 时间[13976, 14378], 时长402
工件J2-工序O3: 机器M8, 时间[14378, 14760], 时长382
工件J2-工序O4: 机器M9, 时间[14760, 14782], 时长22
工件J2-工序O5: 机器M13, 时间[14782, 14802], 时长20
工件J2-工序O6: 机器M36, 时间[16182, 16434], 时长252
工件J2-工序O7: 机器M19, 时间[17586, 17766], 时长180
工件J2-工序O8: 机器M27, 时间[18536, 18666], 时长130
工件J2-工序O9: 机器M24, 时间[18666, 18706], 时长40
工件J2-工序O10: 机器M41, 时间[18706, 18786], 时长80
工件J2-工序O11: 机器M28, 时间[18788, 18828], 时长40
工件J2-工序O12: 机器M29, 时间[18828, 18858], 时长30
工件J2-工序O13: 机器M30, 时间[19466, 19666], 时长200
工件J3-工序O0: 机器M2, 时间[650, 740], 时长90
工件J3-工序O1: 机器M10, 时间[11890, 12530], 时长640
工件J3-工序O2: 机器M8, 时间[12530, 12932], 时长402
工件J3-工序O3: 机器M8, 时间[12932, 13314], 时长382
工件J3-工序O4: 机器M9, 时间[13314, 13336], 时长22
工件J3-工序O5: 机器M13, 时间[13336, 13356], 时长20
工件J3-工序O6: 机器M36, 时间[17442, 17694], 时长252
工件J3-工序O7: 机器M19, 时间[17766, 17946], 时长180
工件J3-工序O8: 机器M27, 时间[18276, 18406], 时长130
工件J3-工序O9: 机器M24, 时间[18406, 18446], 时长40
工件J3-工序O10: 机器M41, 时间[18446, 18526], 时长80
工件J3-工序O11: 机器M28, 时间[18526, 18566], 时长40
工件J3-工序O12: 机器M29, 时间[18566, 18596], 时长30
工件J3-工序O13: 机器M30, 时间[18666, 18866], 时长200
工件J4-工序O0: 机器M1, 时间[380, 470], 时长90
工件J4-工序O1: 机器M10, 时间[17674, 18314], 时长640
工件J4-工序O2: 机器M8, 时间[18314, 18716], 时长402
工件J4-工序O3: 机器M8, 时间[18716, 19098], 时长382
工件J4-工序O4: 机器M9, 时间[19098, 19120], 时长22
工件J4-工序O5: 机器M13, 时间[19120, 19140], 时长20
工件J4-工序O6: 机器M35, 时间[19140, 19432], 时长292
工件J4-工序O7: 机器M19, 时间[19432, 19672], 时长240
工件J4-工序O8: 机器M26, 时间[19672, 19822], 时长150
工件J4-工序O9: 机器M24, 时间[19822, 19862], 时长40
工件J4-工序O10: 机器M41, 时间[19862, 19942], 时长80
工件J4-工序O11: 机器M28, 时间[19942, 19982], 时长40
工件J4-工序O12: 机器M29, 时间[19982, 20012], 时长30
工件J4-工序O13: 机器M30, 时间[20012, 20212], 时长200
工件J5-工序O0: 机器M1, 时间[200, 290], 时长90
工件J5-工序O1: 机器M10, 时间[8998, 9638], 时长640
工件J5-工序O2: 机器M3, 时间[9638, 10040], 时长402
工件J5-工序O3: 机器M8, 时间[10040, 10422], 时长382
工件J5-工序O4: 机器M9, 时间[10422, 10444], 时长22
工件J5-工序O5: 机器M13, 时间[10444, 10464], 时长20
工件J5-工序O6: 机器M36, 时间[16938, 17190], 时长252
工件J5-工序O7: 机器M19, 时间[17226, 17406], 时长180
工件J5-工序O8: 机器M27, 时间[17456, 17586], 时长130
工件J5-工序O9: 机器M24, 时间[17586, 17626], 时长40
工件J5-工序O10: 机器M41, 时间[17626, 17706], 时长80
工件J5-工序O11: 机器M28, 时间[17706, 17746], 时长40
工件J5-工序O12: 机器M29, 时间[17746, 17776], 时长30
工件J5-工序O13: 机器M30, 时间[17786, 17986], 时长200
工件J6-工序O0: 机器M2, 时间[470, 560], 时长90
工件J6-工序O1: 机器M10, 时间[7552, 8192], 时长640
工件J6-工序O2: 机器M3, 时间[8192, 8594], 时长402
工件J6-工序O3: 机器M8, 时间[8594, 8976], 时长382
工件J6-工序O4: 机器M9, 时间[8976, 8998], 时长22
工件J6-工序O5: 机器M13, 时间[8998, 9018], 时长20
工件J6-工序O6: 机器M36, 时间[15638, 15930], 时长292
工件J6-工序O7: 机器M19, 时间[16866, 17046], 时长180
工件J6-工序O8: 机器M27, 时间[17046, 17196], 时长150
工件J6-工序O9: 机器M24, 时间[17196, 17236], 时长40
工件J6-工序O10: 机器M41, 时间[17236, 17316], 时长80
工件J6-工序O11: 机器M28, 时间[17316, 17356], 时长40
工件J6-工序O12: 机器M29, 时间[17356, 17386], 时长30
工件J6-工序O13: 机器M30, 时间[17386, 17586], 时长200
工件J7-工序O0: 机器M2, 时间[380, 470], 时长90
工件J7-工序O1: 机器M10, 时间[6106, 6746], 时长640
工件J7-工序O2: 机器M3, 时间[6746, 7148], 时长402
工件J7-工序O3: 机器M8, 时间[7148, 7530], 时长382
工件J7-工序O4: 机器M9, 时间[7530, 7552], 时长22
工件J7-工序O5: 机器M13, 时间[7552, 7572], 时长20
工件J7-工序O6: 机器M36, 时间[16434, 16686], 时长252
工件J7-工序O7: 机器M19, 时间[17406, 17586], 时长180
工件J7-工序O8: 机器M27, 时间[18666, 18796], 时长130
工件J7-工序O9: 机器M24, 时间[18796, 18836], 时长40
工件J7-工序O10: 机器M41, 时间[18836, 18916], 时长80
工件J7-工序O11: 机器M28, 时间[18916, 18956], 时长40
工件J7-工序O12: 机器M29, 时间[18956, 18986], 时长30
工件J7-工序O13: 机器M30, 时间[19266, 19466], 时长200
工件J8-工序O0: 机器M2, 时间[560, 650], 时长90
工件J8-工序O1: 机器M10, 时间[10444, 11084], 时长640
工件J8-工序O2: 机器M8, 时间[11084, 11486], 时长402
工件J8-工序O3: 机器M8, 时间[11486, 11868], 时长382
工件J8-工序O4: 机器M9, 时间[11868, 11890], 时长22
工件J8-工序O5: 机器M13, 时间[11890, 11910], 时长20
工件J8-工序O6: 机器M36, 时间[16686, 16938], 时长252
工件J8-工序O7: 机器M19, 时间[17046, 17226], 时长180
工件J8-工序O8: 机器M27, 时间[17326, 17456], 时长130
工件J8-工序O9: 机器M24, 时间[17456, 17496], 时长40
工件J8-工序O10: 机器M41, 时间[17496, 17576], 时长80
工件J8-工序O11: 机器M28, 时间[17576, 17616], 时长40
工件J8-工序O12: 机器M29, 时间[17616, 17646], 时长30
工件J8-工序O13: 机器M30, 时间[18186, 18386], 时长200
工件J9-工序O0: 机器M2, 时间[290, 380], 时长90
工件J9-工序O1: 机器M10, 时间[4660, 5300], 时长640
工件J9-工序O2: 机器M8, 时间[5300, 5702], 时长402
工件J9-工序O3: 机器M6, 时间[5702, 6084], 时长382
工件J9-工序O4: 机器M9, 时间[6084, 6106], 时长22
工件J9-工序O5: 机器M13, 时间[6106, 6126], 时长20
工件J9-工序O6: 机器M36, 时间[15930, 16182], 时长252
工件J9-工序O7: 机器M19, 时间[16626, 16866], 时长240
工件J9-工序O8: 机器M27, 时间[17196, 17326], 时长130
工件J9-工序O9: 机器M24, 时间[17326, 17366], 时长40
工件J9-工序O10: 机器M41, 时间[17366, 17446], 时长80
工件J9-工序O11: 机器M28, 时间[17446, 17486], 时长40
工件J9-工序O12: 机器M29, 时间[17486, 17516], 时长30
工件J9-工序O13: 机器M30, 时间[17586, 17786], 时长200
工件J10-工序O0: 机器M1, 时间[100, 150], 时长50
工件J10-工序O1: 机器M5, 时间[1076, 1408], 时长332
工件J10-工序O2: 机器M6, 时间[1488, 1800], 时长312
工件J10-工序O3: 机器M9, 时间[3942, 3964], 时长22
工件J10-工序O4: 机器M10, 时间[4020, 4660], 时长640
工件J10-工序O5: 机器M13, 时间[4660, 4680], 时长20
工件J10-工序O6: 机器M19, 时间[4985, 5205], 时长220
工件J10-工序O7: 机器M18, 时间[5205, 5525], 时长320
工件J10-工序O8: 机器M23, 时间[5749, 6213], 时长464
工件J10-工序O9: 机器M41, 时间[6213, 6253], 时长40
工件J10-工序O10: 机器M27, 时间[10151, 10281], 时长130
工件J10-工序O11: 机器M6, 时间[10861, 10981], 时长120
工件J10-工序O12: 机器M9, 时间[10981, 11003], 时长22
工件J10-工序O13: 机器M24, 时间[11403, 11443], 时长40
工件J10-工序O14: 机器M42, 时间[14498, 15348], 时长850
工件J10-工序O15: 机器M28, 时间[15348, 15388], 时长40
工件J10-工序O16: 机器M29, 时间[15388, 15418], 时长30
工件J10-工序O17: 机器M30, 时间[15418, 15618], 时长200
工件J11-工序O0: 机器M2, 时间[190, 240], 时长50
工件J11-工序O1: 机器M5, 时间[2736, 3068], 时长332
工件J11-工序O2: 机器M6, 时间[3360, 3672], 时长312
工件J11-工序O3: 机器M9, 时间[3964, 3984], 时长20
工件J11-工序O4: 机器M10, 时间[4020, 4660], 时长640
工件J11-工序O5: 机器M13, 时间[4720, 4740], 时长20
工件J11-工序O6: 机器M19, 时间[5865, 6085], 时长220
工件J11-工序O7: 机器M18, 时间[7125, 7445], 时长320
工件J11-工序O8: 机器M23, 时间[9461, 9925], 时长464
工件J11-工序O9: 机器M41, 时间[9925, 9965], 时长40
工件J11-工序O10: 机器M27, 时间[10281, 10411], 时长130
工件J11-工序O11: 机器M6, 时间[10981, 11101], 时长120
工件J11-工序O12: 机器M9, 时间[11123, 11143], 时长20
工件J11-工序O13: 机器M24, 时间[11363, 11403], 时长40
工件J11-工序O14: 机器M42, 时间[18748, 19598], 时长850
工件J11-工序O15: 机器M28, 时间[19598, 19638], 时长40
工件J11-工序O16: 机器M29, 时间[19638, 19668], 时长30
工件J11-工序O17: 机器M30, 时间[19668, 19868], 时长200
工件J12-工序O0: 机器M2, 时间[880, 930], 时长50
工件J12-工序O1: 机器M5, 时间[1740, 2072], 时长332
工件J12-工序O2: 机器M6, 时间[2112, 2424], 时长312
工件J12-工序O3: 机器M9, 时间[3340, 3360], 时长20
工件J12-工序O4: 机器M10, 时间[4020, 4660], 时长640
工件J12-工序O5: 机器M13, 时间[4680, 4700], 时长20
工件J12-工序O6: 机器M19, 时间[5425, 5645], 时长220
工件J12-工序O7: 机器M18, 时间[5845, 6165], 时长320
工件J12-工序O8: 机器M23, 时间[6213, 6677], 时长464
工件J12-工序O9: 机器M41, 时间[6677, 6717], 时长40
工件J12-工序O10: 机器M27, 时间[10021, 10151], 时长130
工件J12-工序O11: 机器M6, 时间[10741, 10861], 时长120
工件J12-工序O12: 机器M9, 时间[11043, 11063], 时长20
工件J12-工序O13: 机器M24, 时间[11063, 11103], 时长40
工件J12-工序O14: 机器M42, 时间[16198, 17048], 时长850
工件J12-工序O15: 机器M28, 时间[17048, 17088], 时长40
工件J12-工序O16: 机器M29, 时间[17088, 17118], 时长30
工件J12-工序O17: 机器M30, 时间[17118, 17318], 时长200
工件J13-工序O0: 机器M1, 时间[0, 50], 时长50
工件J13-工序O1: 机器M5, 时间[50, 412], 时长362
工件J13-工序O2: 机器M6, 时间[814, 1176], 时长362
