================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 16:37:07
最优Makespan: 14327
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 130
调机节省总时间: 4561.0

批处理次数: 26

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J6-工序O11: 机器M28, 时间[11541, 11581], 时长40
工件J6-工序O12: 机器M29, 时间[11581, 11611], 时长30
工件J6-工序O13: 机器M30, 时间[12021, 12221], 时长200
工件J7-工序O0: 机器M2, 时间[280, 370], 时长90
工件J7-工序O1: 机器M10, 时间[370, 1010], 时长640
工件J7-工序O2: 机器M5, 时间[5894, 6296], 时长402
工件J7-工序O3: 机器M6, 时间[8348, 8680], 时长332
工件J7-工序O4: 机器M9, 时间[9325, 9345], 时长20
工件J7-工序O5: 机器M13, 时间[9405, 9425], 时长20
工件J7-工序O6: 机器M35, 时间[9777, 10029], 时长252
工件J7-工序O7: 机器M19, 时间[11061, 11241], 时长180
工件J7-工序O8: 机器M27, 时间[11421, 11551], 时长130
工件J7-工序O9: 机器M24, 时间[11551, 11591], 时长40
工件J7-工序O10: 机器M41, 时间[11591, 11671], 时长80
工件J7-工序O11: 机器M28, 时间[12361, 12401], 时长40
工件J7-工序O12: 机器M29, 时间[12401, 12431], 时长30
工件J7-工序O13: 机器M30, 时间[13661, 13861], 时长200
工件J8-工序O0: 机器M2, 时间[430, 520], 时长90
工件J8-工序O1: 机器M10, 时间[1010, 1650], 时长640
工件J8-工序O2: 机器M4, 时间[5664, 6016], 时长352
工件J8-工序O3: 机器M6, 时间[8016, 8348], 时长332
工件J8-工序O4: 机器M9, 时间[9285, 9305], 时长20
工件J8-工序O5: 机器M13, 时间[9305, 9325], 时长20
工件J8-工序O6: 机器M35, 时间[10281, 10533], 时长252
工件J8-工序O7: 机器M19, 时间[10701, 10881], 时长180
工件J8-工序O8: 机器M27, 时间[10881, 11031], 时长150
工件J8-工序O9: 机器M24, 时间[11031, 11071], 时长40
工件J8-工序O10: 机器M41, 时间[11071, 11151], 时长80
工件J8-工序O11: 机器M28, 时间[11151, 11191], 时长40
工件J8-工序O12: 机器M29, 时间[11191, 11221], 时长30
工件J8-工序O13: 机器M30, 时间[11221, 11421], 时长200
工件J9-工序O0: 机器M1, 时间[141, 231], 时长90
工件J9-工序O1: 机器M10, 时间[1010, 1650], 时长640
工件J9-工序O2: 机器M5, 时间[7000, 7352], 时长352
工件J9-工序O3: 机器M6, 时间[7352, 7684], 时长332
工件J9-工序O4: 机器M9, 时间[9305, 9325], 时长20
工件J9-工序O5: 机器M13, 时间[9325, 9345], 时长20
工件J9-工序O6: 机器M36, 时间[9657, 9909], 时长252
工件J9-工序O7: 机器M19, 时间[9921, 10161], 时长240
工件J9-工序O8: 机器M27, 时间[11031, 11161], 时长130
工件J9-工序O9: 机器M24, 时间[11161, 11201], 时长40
工件J9-工序O10: 机器M41, 时间[11201, 11281], 时长80
工件J9-工序O11: 机器M28, 时间[11281, 11321], 时长40
工件J9-工序O12: 机器M29, 时间[11321, 11351], 时长30
工件J9-工序O13: 机器M30, 时间[11421, 11621], 时长200
工件J10-工序O0: 机器M2, 时间[50, 100], 时长50
工件J10-工序O1: 机器M4, 时间[1508, 1840], 时长332
工件J10-工序O2: 机器M6, 时间[2032, 2344], 时长312
工件J10-工序O3: 机器M9, 时间[3238, 3260], 时长22
工件J10-工序O4: 机器M10, 时间[3316, 3956], 时长640
工件J10-工序O5: 机器M13, 时间[3996, 4016], 时长20
工件J10-工序O6: 机器M19, 时间[4196, 4416], 时长220
工件J10-工序O7: 机器M17, 时间[4516, 4836], 时长320
工件J10-工序O8: 机器M23, 时间[5636, 6100], 时长464
工件J10-工序O9: 机器M41, 时间[6100, 6140], 时长40
工件J10-工序O10: 机器M26, 时间[6453, 6583], 时长130
工件J10-工序O11: 机器M3, 时间[6593, 6713], 时长120
工件J10-工序O12: 机器M9, 时间[7095, 7115], 时长20
工件J10-工序O13: 机器M24, 时间[7275, 7315], 时长40
工件J10-工序O14: 机器M42, 时间[13207, 14057], 时长850
工件J10-工序O15: 机器M28, 时间[14057, 14097], 时长40
工件J10-工序O16: 机器M29, 时间[14097, 14127], 时长30
工件J10-工序O17: 机器M30, 时间[14127, 14327], 时长200
工件J11-工序O0: 机器M1, 时间[50, 100], 时长50
工件J11-工序O1: 机器M4, 时间[512, 844], 时长332
工件J11-工序O2: 机器M6, 时间[2968, 3280], 时长312
工件J11-工序O3: 机器M9, 时间[3280, 3300], 时长20
工件J11-工序O4: 机器M10, 时间[3316, 3956], 时长640
工件J11-工序O5: 机器M13, 时间[3956, 3976], 时长20
工件J11-工序O6: 机器M19, 时间[3976, 4196], 时长220
工件J11-工序O7: 机器M17, 时间[4196, 4516], 时长320
工件J11-工序O8: 机器M21, 时间[5348, 5812], 时长464
工件J11-工序O9: 机器M41, 时间[5812, 5852], 时长40
工件J11-工序O10: 机器M26, 时间[6583, 6713], 时长130
工件J11-工序O11: 机器M3, 时间[6713, 6833], 时长120
工件J11-工序O12: 机器M9, 时间[7175, 7195], 时长20
工件J11-工序O13: 机器M24, 时间[12283, 12323], 时长40
工件J11-工序O14: 机器M42, 时间[12357, 13207], 时长850
工件J11-工序O15: 机器M28, 时间[13207, 13247], 时长40
工件J11-工序O16: 机器M29, 时间[13247, 13277], 时长30
工件J11-工序O17: 机器M30, 时间[13861, 14061], 时长200
工件J12-工序O0: 机器M2, 时间[530, 580], 时长50
工件J12-工序O1: 机器M4, 时间[1840, 2172], 时长332
工件J12-工序O2: 机器M6, 时间[2656, 2968], 时长312
工件J12-工序O3: 机器M9, 时间[3260, 3280], 时长20
工件J12-工序O4: 机器M10, 时间[3316, 3956], 时长640
工件J12-工序O5: 机器M13, 时间[3976, 3996], 时长20
工件J12-工序O6: 机器M19, 时间[4416, 4636], 时长220
工件J12-工序O7: 机器M17, 时间[4836, 5156], 时长320
工件J12-工序O8: 机器M23, 时间[5172, 5636], 时长464
工件J12-工序O9: 机器M41, 时间[5636, 5676], 时长40
工件J12-工序O10: 机器M26, 时间[6173, 6323], 时长150
工件J12-工序O11: 机器M3, 时间[6953, 7073], 时长120
工件J12-工序O12: 机器M9, 时间[7073, 7095], 时长22
工件J12-工序O13: 机器M24, 时间[7195, 7235], 时长40
工件J12-工序O14: 机器M42, 时间[7257, 8107], 时长850
工件J12-工序O15: 机器M28, 时间[8107, 8147], 时长40
工件J12-工序O16: 机器M29, 时间[8147, 8177], 时长30
工件J12-工序O17: 机器M30, 时间[9729, 9929], 时长200
工件J13-工序O0: 机器M2, 时间[100, 150], 时长50
工件J13-工序O1: 机器M4, 时间[150, 512], 时长362
工件J13-工序O2: 机器M6, 时间[1096, 1408], 时长312
工件J13-工序O3: 机器M9, 时间[1678, 1700], 时长22
工件J13-工序O4: 机器M10, 时间[1780, 2420], 时长640
工件J13-工序O5: 机器M13, 时间[2420, 2440], 时长20
工件J13-工序O6: 机器M19, 时间[3316, 3536], 时长220
工件J13-工序O7: 机器M17, 时间[3556, 3876], 时长320
工件J13-工序O8: 机器M21, 时间[3876, 4420], 时长544
工件J13-工序O9: 机器M41, 时间[4420, 4460], 时长40
工件J13-工序O10: 机器M26, 时间[4822, 4952], 时长130
工件J13-工序O11: 机器M3, 时间[6353, 6473], 时长120
工件J13-工序O12: 机器M9, 时间[7115, 7135], 时长20
工件J13-工序O13: 机器M24, 时间[7135, 7175], 时长40
工件J13-工序O14: 机器M42, 时间[10657, 11507], 时长850
工件J13-工序O15: 机器M28, 时间[11621, 11661], 时长40
工件J13-工序O16: 机器M29, 时间[11661, 11691], 时长30
工件J13-工序O17: 机器M30, 时间[11821, 12021], 时长200
工件J14-工序O0: 机器M2, 时间[370, 420], 时长50
工件J14-工序O1: 机器M4, 时间[1176, 1508], 时长332
工件J14-工序O2: 机器M6, 时间[1720, 2032], 时长312
工件J14-工序O3: 机器M9, 时间[2634, 2656], 时长22
工件J14-工序O4: 机器M10, 时间[2676, 3316], 时长640
工件J14-工序O5: 机器M13, 时间[3316, 3336], 时长20
工件J14-工序O6: 机器M14, 时间[3336, 3621], 时长285
工件J14-工序O7: 机器M17, 时间[3876, 4196], 时长320
工件J14-工序O8: 机器M21, 时间[4420, 4884], 时长464
工件J14-工序O9: 机器M41, 时间[4884, 4924], 时长40
工件J14-工序O10: 机器M26, 时间[5082, 5212], 时长130
工件J14-工序O11: 机器M3, 时间[6473, 6593], 时长120
工件J14-工序O12: 机器M9, 时间[7135, 7155], 时长20
工件J14-工序O13: 机器M24, 时间[7235, 7275], 时长40
工件J14-工序O14: 机器M42, 时间[8107, 8957], 时长850
工件J14-工序O15: 机器M28, 时间[8957, 8997], 时长40
工件J14-工序O16: 机器M29, 时间[8997, 9027], 时长30
工件J14-工序O17: 机器M30, 时间[9027, 9227], 时长200
工件J15-工序O0: 机器M2, 时间[150, 200], 时长50
工件J15-工序O1: 机器M4, 时间[844, 1176], 时长332
工件J15-工序O2: 机器M6, 时间[2344, 2656], 时长312
工件J15-工序O3: 机器M9, 时间[2656, 2676], 时长20
工件J15-工序O4: 机器M10, 时间[2676, 3316], 时长640
工件J15-工序O5: 机器M13, 时间[3336, 3356], 时长20
工件J15-工序O6: 机器M19, 时间[3536, 3756], 时长220
工件J15-工序O7: 机器M18, 时间[3756, 4076], 时长320
工件J15-工序O8: 机器M23, 时间[4244, 4708], 时长464
工件J15-工序O9: 机器M41, 时间[4708, 4748], 时长40
工件J15-工序O10: 机器M26, 时间[4952, 5082], 时长130
工件J15-工序O11: 机器M3, 时间[6203, 6353], 时长150
工件J15-工序O12: 机器M9, 时间[6353, 6373], 时长20
工件J15-工序O13: 机器M24, 时间[6393, 6433], 时长40
工件J15-工序O14: 机器M42, 时间[11507, 12357], 时长850
工件J15-工序O15: 机器M28, 时间[12401, 12441], 时长40
工件J15-工序O16: 机器M29, 时间[12441, 12471], 时长30
工件J15-工序O17: 机器M30, 时间[13461, 13661], 时长200
工件J16-工序O0: 机器M1, 时间[330, 380], 时长50
工件J16-工序O1: 机器M8, 时间[1076, 1408], 时长332
工件J16-工序O2: 机器M6, 时间[1408, 1720], 时长312
工件J16-工序O3: 机器M9, 时间[1720, 1740], 时长20
工件J16-工序O4: 机器M10, 时间[1780, 2420], 时长640
工件J16-工序O5: 机器M13, 时间[2812, 2832], 时长20
工件J16-工序O6: 机器M19, 时间[2876, 3096], 时长220
工件J16-工序O7: 机器M17, 时间[3236, 3556], 时长320
工件J16-工序O8: 机器M21, 时间[4884, 5348], 时长464
工件J16-工序O9: 机器M41, 时间[5348, 5388], 时长40
工件J16-工序O10: 机器M26, 时间[6323, 6453], 时长130
工件J16-工序O11: 机器M3, 时间[6833, 6953], 时长120
工件J16-工序O12: 机器M9, 时间[7155, 7175], 时长20
工件J16-工序O13: 机器M24, 时间[8883, 8923], 时长40
工件J16-工序O14: 机器M42, 时间[8957, 9807], 时长850
工件J16-工序O15: 机器M28, 时间[9807, 9847], 时长40
工件J16-工序O16: 机器M29, 时间[9847, 9877], 时长30
工件J16-工序O17: 机器M30, 时间[9929, 10129], 时长200
工件J17-工序O0: 机器M1, 时间[280, 330], 时长50
工件J17-工序O1: 机器M8, 时间[412, 744], 时长332
工件J17-工序O2: 机器M6, 时间[784, 1096], 时长312
工件J17-工序O3: 机器M9, 时间[1700, 1720], 时长20
工件J17-工序O4: 机器M10, 时间[1780, 2420], 时长640
工件J17-工序O5: 机器M13, 时间[2832, 2852], 时长20
工件J17-工序O6: 机器M19, 时间[3096, 3316], 时长220
工件J17-工序O7: 机器M18, 时间[3416, 3756], 时长340
工件J17-工序O8: 机器M23, 时间[3780, 4244], 时长464
工件J17-工序O9: 机器M41, 时间[4244, 4284], 时长40
工件J17-工序O10: 机器M26, 时间[4692, 4822], 时长130
工件J17-工序O11: 机器M5, 时间[5192, 5342], 时长150
工件J17-工序O12: 机器M9, 时间[5440, 5462], 时长22
工件J17-工序O13: 机器M24, 时间[5522, 5562], 时长40
工件J17-工序O14: 机器M42, 时间[9807, 10657], 时长850
工件J17-工序O15: 机器M28, 时间[10657, 10697], 时长40
工件J17-工序O16: 机器M29, 时间[10697, 10727], 时长30
工件J17-工序O17: 机器M30, 时间[11621, 11821], 时长200
工件J18-工序O0: 机器M2, 时间[0, 50], 时长50
工件J18-工序O1: 机器M8, 时间[50, 412], 时长362
工件J18-工序O2: 机器M6, 时间[422, 784], 时长362
工件J18-工序O3: 机器M9, 时间[1760, 1780], 时长20
工件J18-工序O4: 机器M10, 时间[1780, 2420], 时长640
工件J18-工序O5: 机器M13, 时间[2460, 2480], 时长20
工件J18-工序O6: 机器M19, 时间[2591, 2876], 时长285
工件J18-工序O7: 机器M17, 时间[2896, 3236], 时长340
工件J18-工序O8: 机器M23, 时间[3236, 3780], 时长544
工件J18-工序O9: 机器M41, 时间[3780, 3820], 时长40
工件J18-工序O10: 机器M26, 时间[4542, 4692], 时长150
工件J18-工序O11: 机器M5, 时间[5462, 5582], 时长120
工件J18-工序O12: 机器M9, 时间[6331, 6353], 时长22
工件J18-工序O13: 机器M24, 时间[6353, 6393], 时长40
工件J18-工序O14: 机器M42, 时间[6407, 7257], 时长850
工件J18-工序O15: 机器M28, 时间[7257, 7297], 时长40
工件J18-工序O16: 机器M29, 时间[7297, 7327], 时长30
工件J18-工序O17: 机器M30, 时间[7379, 7579], 时长200
工件J19-工序O0: 机器M1, 时间[0, 50], 时长50
工件J19-工序O1: 机器M8, 时间[744, 1076], 时长332
工件J19-工序O2: 机器M5, 时间[1377, 1739], 时长362
工件J19-工序O3: 机器M9, 时间[1740, 1760], 时长20
工件J19-工序O4: 机器M10, 时间[1780, 2420], 时长640
工件J19-工序O5: 机器M13, 时间[2440, 2460], 时长20
工件J19-工序O6: 机器M19, 时间[3756, 3976], 时长220
工件J19-工序O7: 机器M18, 时间[4076, 4396], 时长320
工件J19-工序O8: 机器M23, 时间[4708, 5172], 时长464
工件J19-工序O9: 机器M41, 时间[5172, 5212], 时长40
工件J19-工序O10: 机器M26, 时间[5212, 5342], 时长130
工件J19-工序O11: 机器M5, 时间[5342, 5462], 时长120
工件J19-工序O12: 机器M9, 时间[5462, 5482], 时长20
工件J19-工序O13: 机器M24, 时间[5482, 5522], 时长40
工件J19-工序O14: 机器M42, 时间[5522, 6407], 时长885
工件J19-工序O15: 机器M28, 时间[6407, 6447], 时长40
工件J19-工序O16: 机器M29, 时间[6447, 6477], 时长30
工件J19-工序O17: 机器M30, 时间[7179, 7379], 时长200
