================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 15:45:01
最优Makespan: 65808
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 89
调机节省总时间: 2994.0

批处理次数: 0

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[29199, 29289], 时长90
工件J0-工序O1: 机器M10, 时间[63300, 63940], 时长640
工件J0-工序O2: 机器M7, 时间[63940, 64342], 时长402
工件J0-工序O3: 机器M8, 时间[64342, 64724], 时长382
工件J0-工序O4: 机器M9, 时间[64724, 64746], 时长22
工件J0-工序O5: 机器M13, 时间[64746, 64766], 时长20
工件J0-工序O6: 机器M36, 时间[64766, 65018], 时长252
工件J0-工序O7: 机器M19, 时间[65018, 65198], 时长180
工件J0-工序O8: 机器M27, 时间[65218, 65348], 时长130
工件J0-工序O9: 机器M24, 时间[65348, 65388], 时长40
工件J0-工序O10: 机器M41, 时间[65388, 65468], 时长80
工件J0-工序O11: 机器M28, 时间[65468, 65508], 时长40
工件J0-工序O12: 机器M29, 时间[65508, 65538], 时长30
工件J0-工序O13: 机器M30, 时间[65608, 65808], 时长200
工件J1-工序O0: 机器M2, 时间[1372, 1462], 时长90
工件J1-工序O1: 机器M10, 时间[61854, 62494], 时长640
工件J1-工序O2: 机器M8, 时间[62494, 62896], 时长402
工件J1-工序O3: 机器M4, 时间[62896, 63278], 时长382
工件J1-工序O4: 机器M9, 时间[63278, 63300], 时长22
工件J1-工序O5: 机器M13, 时间[63300, 63320], 时长20
工件J1-工序O6: 机器M36, 时间[64474, 64766], 时长292
工件J1-工序O7: 机器M19, 时间[64778, 65018], 时长240
工件J1-工序O8: 机器M27, 时间[65068, 65218], 时长150
工件J1-工序O9: 机器M24, 时间[65218, 65258], 时长40
工件J1-工序O10: 机器M41, 时间[65258, 65338], 时长80
工件J1-工序O11: 机器M28, 时间[65338, 65378], 时长40
工件J1-工序O12: 机器M29, 时间[65378, 65408], 时长30
工件J1-工序O13: 机器M30, 时间[65408, 65608], 时长200
工件J2-工序O0: 机器M2, 时间[1102, 1192], 时长90
工件J2-工序O1: 机器M10, 时间[60408, 61048], 时长640
工件J2-工序O2: 机器M8, 时间[61048, 61450], 时长402
工件J2-工序O3: 机器M4, 时间[61450, 61832], 时长382
工件J2-工序O4: 机器M9, 时间[61832, 61854], 时长22
工件J2-工序O5: 机器M13, 时间[61854, 61874], 时长20
工件J2-工序O6: 机器M36, 时间[61914, 62166], 时长252
工件J2-工序O7: 机器M15, 时间[62166, 62406], 时长240
工件J2-工序O8: 机器M27, 时间[62426, 62556], 时长130
工件J2-工序O9: 机器M24, 时间[62556, 62596], 时长40
工件J2-工序O10: 机器M41, 时间[62596, 62676], 时长80
工件J2-工序O11: 机器M28, 时间[62676, 62716], 时长40
工件J2-工序O12: 机器M29, 时间[62716, 62746], 时长30
工件J2-工序O13: 机器M30, 时间[62746, 62946], 时长200
工件J3-工序O0: 机器M2, 时间[1282, 1372], 时长90
工件J3-工序O1: 机器M10, 时间[58962, 59602], 时长640
