================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 16:02:46
最优Makespan: 15434
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 132
调机节省总时间: 4814.0

批处理次数: 5

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[380, 470], 时长90
工件J0-工序O1: 机器M10, 时间[470, 1110], 时长640
工件J0-工序O2: 机器M3, 时间[4074, 4426], 时长352
工件J0-工序O3: 机器M5, 时间[7886, 8218], 时长332
工件J0-工序O4: 机器M9, 时间[8944, 8964], 时长20
工件J0-工序O5: 机器M13, 时间[8964, 8984], 时长20
工件J0-工序O6: 机器M36, 时间[8984, 9276], 时长292
工件J0-工序O7: 机器M19, 时间[10459, 10699], 时长240
工件J0-工序O8: 机器M27, 时间[12039, 12169], 时长130
工件J0-工序O9: 机器M24, 时间[12169, 12209], 时长40
工件J0-工序O10: 机器M41, 时间[12209, 12289], 时长80
工件J0-工序O11: 机器M28, 时间[12289, 12329], 时长40
工件J0-工序O12: 机器M29, 时间[12329, 12359], 时长30
工件J0-工序O13: 机器M30, 时间[13924, 14124], 时长200
工件J1-工序O0: 机器M2, 时间[470, 560], 时长90
工件J1-工序O1: 机器M10, 时间[957, 1597], 时长640
工件J1-工序O2: 机器M3, 时间[5130, 5482], 时长352
工件J1-工序O3: 机器M5, 时间[5894, 6226], 时长332
工件J1-工序O4: 机器M9, 时间[8964, 8984], 时长20
工件J1-工序O5: 机器M13, 时间[8984, 9004], 时长20
工件J1-工序O6: 机器M36, 时间[11292, 11544], 时长252
工件J1-工序O7: 机器M19, 时间[11959, 12139], 时长180
工件J1-工序O8: 机器M27, 时间[12299, 12429], 时长130
工件J1-工序O9: 机器M24, 时间[12429, 12469], 时长40
工件J1-工序O10: 机器M41, 时间[12469, 12549], 时长80
工件J1-工序O11: 机器M28, 时间[12549, 12589], 时长40
工件J1-工序O12: 机器M29, 时间[12589, 12619], 时长30
工件J1-工序O13: 机器M30, 时间[13124, 13324], 时长200
工件J2-工序O0: 机器M2, 时间[773, 863], 时长90
工件J2-工序O1: 机器M10, 时间[956, 1596], 时长640
工件J2-工序O2: 机器M3, 时间[6890, 7242], 时长352
工件J2-工序O3: 机器M5, 时间[7554, 7886], 时长332
工件J2-工序O4: 机器M9, 时间[8924, 8944], 时长20
工件J2-工序O5: 机器M13, 时间[8944, 8964], 时长20
工件J2-工序O6: 机器M36, 时间[11040, 11292], 时长252
工件J2-工序O7: 机器M19, 时间[11419, 11599], 时长180
工件J2-工序O8: 机器M27, 时间[11629, 11779], 时长150
工件J2-工序O9: 机器M24, 时间[11779, 11819], 时长40
工件J2-工序O10: 机器M41, 时间[11819, 11899], 时长80
工件J2-工序O11: 机器M28, 时间[11899, 11939], 时长40
工件J2-工序O12: 机器M29, 时间[11939, 11969], 时长30
工件J2-工序O13: 机器M30, 时间[12124, 12324], 时长200
